0	[0.014246223219055968, -0.04326772355638479, 0.004130585902469433, -0.0874253132217089, -0.0527242297835655, -0.025290070492852267, 0.03285425567335019, 0.0758786769871647, 0.010044743470206789, -0.02126924998507229, 0.0029323541667047575, -0.012666190515241635, -0.06399078668155467, -0.10355254080315275, 0.0005788506064207322, 0.15035679048865594, 0.10245032602467108, 0.004906824632758014, 0.07004123527326585, -0.026211710102370483, 0.003748492820834157, -0.06899615104138915, -0.06471472419609023, 0.04175794165119453, -0.09302607016315101, 0.06024483801527438, 0.09434515643606639, 0.12434386211546357, 0.03594147276066577, 0.0012445642927398535, -0.001715607190343185, 0.28496842726380694, 0.0033505734591405887, 0.020043749008917602, 0.02995100082891316, -0.10787131200005375, 0.38160521454571245, -0.029341539213724684, 0.005532120378205344, 0.11788891278452426, -0.0648493380802372, 0.07182693208955004, 0.010620648168996235, -0.011982072382826224, -0.11368270426381322, 0.01381232560707305, -0.060833318299810674, -0.0865515870417857, 0.15611994801772475, -0.08416157095130461, -0.03567366436093085, -0.04297907224765781, 0.0008952577282464803, -0.06783889392676672, 0.07253544639695114, 0.021770895937880046, 0.187627149661654, -0.08634226111270613, 0.05106705202871579, -0.018539705729333545, -0.08568228188645097, 0.049189615882441313, 0.0709582901241762, 0.08397352019717558, -0.05805784191096018, -0.0639175465587969, 0.011839868241383868, -0.013335703050473774, -0.09728198508416573, 0.135505395077817, 0.16098190038982577, 0.0392367433744338, 0.11227160304662201, -0.06358972096899931, 0.11740689895248975, 3.318564897944339e-05, 0.011753203181315982, -0.07249706405888393, -0.09607644470885078, -0.005671031310779149, 0.02685774229732596, -0.0045521762202070295, 0.107065002281336, -0.08944367264972397, -0.17754160857820195, 0.021119397929170145, 0.1278864032599511, -0.07726300210606044, -0.23324352153059696, 0.05773269514334481, 0.24392624752058958, -0.16770135929632757, -0.19183499835123852, -0.046529452766248106, -0.19184293172689895, 0.09789199293849256, -0.045128291979502806, -0.1451308133465678, -0.19800092274602302, -0.0240354710488749]
1	[0.0285162612298215, -0.05140774830926723, -0.0036460095818428603, -0.033829121849050355, -0.13631239228238695, 0.07858925940808699, -0.08044287048748128, 0.1599183526946553, -0.12133754732961105, -0.1184081805259878, -0.08122393615876337, -0.07350528583322666, 0.0313045372975129, 0.043876575729830045, -0.07268837808120993, 0.057581676959901164, 0.0657606539002168, 0.001716586882421784, -0.06712923272941607, -0.10312421890226026, -0.005252826696873306, -0.005320794653785062, 0.07732158574641895, 0.05972717043350934, 0.031130076152574657, 0.054034475107605416, 0.09488682916844662, -0.05263892709724691, 0.05310685242205651, -0.15240039599801994, -0.06463172144476373, -0.12095688637685756, -0.07027952555177398, -0.09107210155523411, 0.032640415799313933, 0.027669061308340553, 0.00232861704511505, 0.10176395628675707, 0.008177565421719754, 0.11005065550387505, -0.021769276849292394, -0.07746038968106486, 0.10075914747799182, 0.11571768050336045, 0.05861769692990183, 0.0958084148166987, -0.03140590972000928, -0.08210714149615252, -0.012733817394484127, -0.03363363359340321, -0.13283519236021313, -0.2784654854477585, -0.11006366988919856, 0.09024276794001342, -0.1373695713909246, -0.12446494407720413, 0.06386120340451887, 0.1177546014696468, -0.2744969754238649, 0.05708126964171138, 0.15670346189648646, -0.0035286342353702386, 0.1270397007980225, -0.08402752848265344, -0.007163704092524931, -0.02298773086384422, 0.010560972376176406, 0.05730700009204352, 0.10377710762182119, -0.1366112093514811, 0.017622500207601345, -0.11067908313239212, 0.06905340225411769, 0.027479170780216215, 0.004376585925149479, 0.062041099224238234, -0.029700946137313767, -0.07684680931054713, -0.024745699642474372, 0.05878009305544161, 0.1599433231199342, -0.007756342751601847, -0.21096786592110434, -0.17268411418253238, 0.13357689192311417, -0.08542097736229386, 0.08801292923144956, -0.08456942810246622, 0.12193310415518659, 0.0661126224225165, 0.1888153799742037, -0.19962861038052282, -0.025753273076418493, 0.0707069065953729, 0.020948167133972427, 0.15873086054876615, 0.05983264326970566, 0.19015129773983483, 0.06615516035766955, -0.19232732542202116]
2	[0.09001018106405075, 0.14904880162739284, 0.06172670953395796, -0.07575442974972345, 0.043989772417931214, 0.10880832268121866, 0.02000930018597921, -0.07034037050001815, -0.04980245636739688, -0.10499928256914438, 0.1625049537054352, 0.11184706692935298, 0.12824614529145872, -0.038923989167118374, -0.11598945565652873, 0.04334017653281429, 0.053009165162393464, 0.02202563668556106, 0.1686325908249132, -0.030508946280255536, 0.014865783493334775, -0.06872991355625815, 0.1019392006492789, 0.05036050942423244, -0.011538320291495771, -0.03976885770850545, 0.04625670138685376, -0.009305354886804952, 0.05479920282049325, 0.028652707664387513, -0.05028460120588398, 0.03158565657450039, -0.021332607599754784, 0.031890669286963054, 0.0758909054811669, -0.09224730943575843, -0.015806423781535416, -0.010673445076620719, -0.022885103484464105, -0.04966032008897514, 0.09112558056013295, 0.007158731430564815, 0.05288459288451684, -0.024613746366127506, 0.11480144517358647, 0.10308963637507056, -0.023709043683440716, 0.04505590700720271, 0.06725823749501993, -0.07402658360841713, 0.04582430653041447, 0.01211229504874679, 0.04607436177097787, -0.0967168006387833, 0.11068749474221558, -0.12300477412167866, 0.1270833261907699, 0.01634600658607929, 0.05783285211988501, 0.034089595790291784, -0.3967638072466223, 0.058682152533402414, -0.0012796313118806485, -0.14195219125367367, 0.23291259320404517, -0.05444762055523302, 0.051568552874475364, -0.08344069636386704, 0.03233976026533464, 0.020697097077534664, -0.1124390291188105, -0.5183675276083264, -0.2358395378632216, -0.05863320500206707, 0.05117278779412801, -0.11639257312207615, -0.08851451931069493, -0.11495137642841274, 0.09822539899213416, -0.16583003304091015, 9.821351575467241e-05, 0.0013401374780285175, -0.003194063995238738, 0.003258114596687821, -0.0011014633159884138, -0.002477096428934032, -0.001382957201213907, -0.0026851473422497903, -0.0027521905379675887, 0.000347336845661608, 0.0019250176633037908, 0.001393673515244626, -0.002908542377233001, 0.0008979240117039392, -0.0031056362752999553, 0.0019772129265300475, -0.00015222692086286856, -0.0014907796296586263, 0.0021246241653858485, -0.002720292349204662]
3	[0.07115770759531717, -0.04070431400119559, -0.0710102326259521, 0.018206802523459277, 0.00016929346643341936, -0.0643241005304743, 0.017873165923426308, 0.10833435564935323, -0.2584018483206838, -0.09789138002164235, -0.12187128790514837, 0.10763037875378534, -0.005122192831647508, -0.18258031979927614, 0.07296841895247778, 0.012531302004506336, 0.005610436807595433, -0.008630805106076604, 0.005473686416287911, 0.0182278200177982, -0.005440109669923705, 0.00365181755085241, 0.028410341786134278, 0.20431358513383907, 0.08204989186036474, -0.0621918660521546, -0.06375318239848785, -0.0291620958705133, 0.1111913246771884, 0.05396339793931365, -0.000986153541076879, 0.0358671490638297, 0.02844371512942799, 0.05442149424060408, -0.09021481492693527, 0.0032999187194902926, 0.03189429153862039, -0.00017124858078803798, -0.05549249424740797, 0.007711370761867071, -0.01850872954140838, 0.18148345136930652, -0.07245919176909958, -0.02563395834790521, 0.04133367059803898, 0.12581392877771924, 0.13870187890707925, -0.14417694581043622, -0.06436932209239034, -0.14379732902048462, 0.037483533256970444, 0.08187773286281684, 0.09398651199916198, -0.034183927043705216, 0.10903796690471955, -0.06994820864204958, -0.0937770858946165, -0.012374029474147829, -0.14095228645934102, -0.16185307750085193, -0.04578806061958953, 0.08413786797484044, 0.04698014435785192, 0.05513493186630856, -0.01132369769007357, 0.0016927719176239935, 0.005715798277845891, 0.08463853473664264, 0.05316591957502679, 0.04665923843311862, 0.18246214613711173, 0.41595018951648033, 0.044875650747042056, 0.06804264067694482, -0.07402650012230941, 0.0016960380999701458, -0.03672031724582069, 0.06202865982932312, 0.1389939505659866, 0.07000155902974702, -0.11602574956134729, -0.02813890733605845, 0.028100143690161068, 0.0910878267486916, -0.08844157313259106, 0.041735320025978996, 0.12142749349726374, -0.09198689423092202, 0.07022903898654421, 0.00718671965930096, 0.13678870950986802, 0.18904838418205955, -0.1483240571268125, 0.1745490253222956, 0.11365190567400948, 0.08968352227888429, 0.15781757496477883, -0.0776585800190891, 0.041596442404009594, -0.17647895538903405]
4	[0.1597708173865127, 0.004825579341486732, 0.12597894839045226, 0.15878351059190712, 0.1250102441674291, 0.018701116020557133, 0.0008524753555186717, 0.016882669249873018, -0.04262779327254084, 0.16221984136322218, 0.10658207640543808, -0.025199202625401772, 0.07051530004293652, -0.025786159382464986, -0.10156799593251423, 0.01797620500440821, 0.00448799380602548, 0.04610068876075725, 0.10436041046684391, 0.05331980514310647, -0.07695740022865562, -0.0005135945533894996, -0.07115742143387946, 0.0008860955734352351, 0.06206725130281231, -0.09270587235386266, -0.08039341275105015, -0.03338972239444178, -0.09799687502624421, -0.034767410357849055, 0.000961092870607376, -0.2592928552220995, -0.019142358681459633, -0.10435706576807263, 0.004328878100689267, 0.01442797237854113, -0.05231113038676811, 0.13836059410328044, -0.02535234395206443, 0.1364302038765132, 0.11029208035961938, -0.11836030063820398, 0.05751488408512486, 0.03906081585259944, 0.06593023134353285, 0.014686990000665626, -0.0904304754828894, 0.0050820751404454375, 0.1338852287723448, 0.06350017280222356, -0.02312766721179731, -0.12566262767260739, 0.1266860558032376, 0.1591887001926964, 0.0058885224720577785, -0.0018609573253571174, -0.1211594564534173, -0.05626209075933155, 0.00587568346232679, 0.09889115233979265, 0.0521369014510942, -0.13475570177796248, -0.07653846634567019, -0.029686052976134625, 0.0638606395742668, -0.0007906890182172133, 0.04495914438763445, 0.10124467143206191, 0.04522038786630064, 0.06273091131662792, 0.04470274688314134, 0.42791550501923564, 0.05063816320101603, -0.1408009085479156, 0.1316153931482622, 0.0013024823633741216, -0.06752466495742966, -0.10108986863724091, -0.156765803605812, 0.0771551618038195, -0.16861218228215052, 0.0592629029594947, -0.01853235573553081, 0.028370650570759215, -0.15813995101812586, -0.025132056569246535, -0.1616172488144083, -0.1188662575749811, 0.1255827018457432, -0.16126172669887903, 0.05393135306203495, 0.07252810134053737, -0.11004974720586738, 0.13971667905004403, 0.06926691407961076, -0.03127649144780436, 0.13792876026359832, 0.04519485512903564, 0.024153015571657905, 0.06275549277697484]
5	[-0.1893803238251486, -0.003896261816118311, -0.06328958190797014, -0.0003789965454082441, 0.05767212611486828, 0.13505089119860353, -0.01352099880341783, -0.08604335685974851, -0.08473176884324175, 0.01972348617046969, -0.07667577268152914, 0.03388048623789638, -0.04096701079969053, 0.006646023993040159, 0.014444408778558708, -0.04000074276569245, -0.023467391358883326, 0.03015905450551247, 0.202971526743271, 0.025492717527960115, -0.07211591043522016, -0.1883168252321613, 0.010791691286916939, -0.15241972356830816, -0.11547439283734133, 0.059074804574716075, 0.0762619062365855, -0.19764457786720804, 0.07434117384825806, 0.21174725792943125, 0.040626039934717265, -0.2163499506853384, 0.054850209646918634, 0.16006511400756052, -0.0023523736549152263, -0.06614020900427434, 0.03388218621191453, -0.052592221405235666, -0.015771366729116686, 0.08579607757815225, -0.05570273577276907, -0.1590442105829955, -0.06677569534691627, 0.07155293877880525, 0.019923751051318408, -0.0965266200587798, 0.16877310016497646, -0.10795862985059697, -0.13432064610577463, -0.02680534138680625, 0.04193533533781856, -0.1391559962417761, 0.09412062096683511, 0.026952123418607882, -0.046185159308453516, -0.08574963015210883, 0.13595263997015633, -0.08374154218400127, 0.03581362803530538, 0.12437642606900798, 0.04310785384040875, -0.044082778360008006, 0.056540255096109354, 0.16529333257095888, -0.10385440652671556, 0.030395921071213302, 0.19403138560692965, 0.110814375474711, 0.237851414505602, 0.024726314825827028, -0.13426969653007395, -0.24641910808076345, -0.10227625420823523, 0.028001045043232, 0.2006230294274725, 0.043352058764266295, -0.04132818748331637, 0.011283345120510447, 0.07554705820466412, -0.11170950914810486, -0.0016304604111819058, 0.11093789242981845, 0.02854467712856256, -0.018557773794583256, 0.044751600437210784, 0.00022760118349497282, 0.04879652985141619, -0.08276669112278727, -0.040600165061962755, 0.045525730763906334, -0.11548311057269924, 0.08832081091750996, -0.09805405831347229, 0.07828099646267611, -0.07981651535788488, -0.09270723991649364, -0.10153633924369052, -0.05980687693278141, -0.05216425845378865, -0.0962325742156008]
6	[0.005298412652551463, 0.18328709550622393, -0.03261936475024668, -0.07856671080087568, -0.06469372214027594, 0.0025553615200539447, -0.021992409091207456, 0.09282880454219547, -0.10984603725722096, -0.04869343129911606, 0.22056701134030654, 0.05671772780549028, 0.08190459476328707, 0.14468368529102363, -0.1197130209500223, -0.13093574143903594, -0.04069021386583037, 0.054402716306996474, -0.09100564179052235, -0.06614158099996216, 0.09411609409700833, -0.08919217489544856, 0.041815791836396665, -0.12369466983244184, 0.12530360336128957, -0.06086897752102518, 0.045228550373579215, -0.1513842189455595, -0.09978447781258826, 0.0030202418481382206, -0.1676022025877293, -0.0612502195023067, 0.001220896992852057, -0.03709174546086779, 0.1459597596217702, 0.07702059897332338, -0.03877933430598549, -0.08311122421345651, -0.032568176512007344, 0.042659916468732066, 0.033951393659291465, -0.015155197127509, 0.09103502778518299, -0.10419445350412089, 0.09388977583636644, -0.0214352541449351, -0.1342653370777563, 0.1530710805793039, -0.13570753821725715, -0.027853900078750923, -0.0555376518771958, 0.010252053302168817, -0.009946387058384156, 0.05805143861306982, 0.003046419124698316, -0.04595689912022015, -0.0555331978332764, 0.08716033659740112, 0.08692072883452298, -0.05537119114653324, 0.1500954701282153, 0.19431367168938876, -0.07019568610567904, -0.0588895929411423, 0.11767968557439884, -0.02078178558856096, 0.18562633470322895, 0.07955059222396879, -0.17228220497495333, -0.029477215852171747, 0.09451806986754052, -0.38300457801191445, -0.07393118782594404, -0.0258750994239555, 0.08938789209391483, -0.053499008753759965, -0.1820873934113968, -0.04798284648033537, -0.08691975669641955, 0.22002077823801142, 0.12813977735774304, 0.053881643177106295, 0.0665083554245238, 0.007479127658743623, 0.017135540047883698, -0.029155199042011654, 0.028127415199973006, -0.02639287655866762, 0.006733466077998906, -0.031298967135119225, -0.1185017794096407, -0.0670742932257469, 0.07455725372651677, -0.0065204788482928905, 0.1381713886095912, -0.05552824068451947, 0.07162938512408015, 0.03609680411297948, 0.13259400300570257, -0.08094657839898231]
7	[-0.14235904965094956, 0.08938728216040807, 0.1078998814405085, 0.09296413186565812, -0.019871416824080654, -0.09742411849457991, 0.06004940001210212, -0.04036057847358029, -0.05108336650061483, -0.06859061697527213, 0.014099439505780624, 0.11507209478105514, -0.33383336350208964, 0.057112641808934196, 0.009402929436034657, 0.05714299418178908, 0.004462246078802965, -0.06696613724659542, -0.011577839529131363, -0.0647887288840769, -0.10796644380864094, 0.13767071626281116, 0.12251514004024304, 0.011369064547576456, 0.006134608806418073, 0.19971031772071776, -0.06893631945813393, 0.08798192225784084, -0.13642958030364238, 0.01015198864048383, -0.12559283401477858, 0.008765857541038416, -0.1671838832583131, -0.11523368740107072, 0.15463053457112236, 0.027027970851777706, -0.05124091620219122, -0.08177354465524232, 0.1401580788393349, 0.07319491344565246, 0.004494129791540307, 0.10878114047840441, -0.0643370054561648, -0.09877235454211553, -0.004740141055958822, -0.09869729973703738, 0.055844620663292724, 0.14559859893080057, 0.07147983427032024, 0.09574554620162605, 0.03609115112951304, -0.07881234530844634, -0.0016193072460283851, 0.04979086014421696, 0.00800426212951579, 0.05705743765106801, 0.09670279854863453, 0.035580457255766494, -0.003702579512115258, 0.04785075525226634, -0.12934730890872345, -0.004854495196314064, 0.042201548004415834, -0.02381328944083598, 0.011524078568101625, 0.08171211895346475, 0.020695322866537354, -0.053686619939668966, 0.14526383390675637, -0.003137093502175703, 0.186369537104094, 0.5857939481122095, 0.03346722655642623, -0.03200169862266618, 0.03456521739287245, 0.006276730110517318, 0.04930865855092954, 0.10864725676878938, 0.07981759683348115, 0.05676432875233329, 1.1098261362346598e-07, -5.4720404150183825e-08, 7.208971440475002e-09, 1.7426411921391297e-07, 1.3215629864592674e-07, 3.9688934265162424e-08, 1.589383473111273e-07, 5.689787623033856e-08, 2.0807056243298973e-07, 6.941866884760627e-09, -2.3094758065092555e-08, 6.152845114991651e-08, 8.466792110552682e-08, 1.8233394639580173e-07, -1.1677425650970831e-07, 2.2142528135754994e-07, -1.8148809832584087e-07, 5.645307443371408e-08, -1.7320796748152252e-07, 9.424390905426293e-09]
8	[-0.029465573375168336, 0.021894120613587698, -0.033592542827240134, 0.1401282810218776, -0.07302227051731558, 0.07744800906491249, -0.0011383320918856455, -0.2658394730599, 0.08478155378333595, 0.0328660537651421, 0.018782522620608772, 0.034566910032131234, 0.0019990880295854235, 0.09295898453087681, 0.05635574499396448, 0.17453243925646492, -0.007865380305765281, -0.05831914210989965, 0.039939098804970645, -0.0757412497502236, -0.07399302929003446, -0.06738602299258892, 0.10271812146856535, 0.02575874774416357, -0.09928651081916134, -0.07946955857874517, -0.018227938541244732, 0.030648790107808757, -0.25641608924059617, -0.12810155518360028, -0.09961184718729223, -0.21726791669916568, 0.11606923075453639, 0.056396636841404946, 0.12589834333017924, 0.034914428140819895, 0.160405450722929, 0.04160453378996598, -0.007167808424615906, -0.04618408657518185, 0.05264576752813168, 0.02783983175492274, -0.07314161382782004, -0.09856151349938254, -0.15614119222292291, -0.08028978622735694, 0.0996841040956433, -0.024017906327277534, 0.0724117972361203, 0.10032650411766784, 0.16128813407261924, 0.28712674706935193, 0.17969665018512176, -0.10409352125858042, 0.08858827591776142, 0.050530137411485994, -0.043301550895870344, 0.03811461139872352, 0.13304981291304377, 0.12264584562266942, 0.03331491005470425, -0.03972274080439479, -0.047143601709681196, -0.04368360220551827, -0.10452010713355504, -0.22807824946202657, -0.13527613624255783, 0.09973577837529203, -0.059703740923245804, -0.0271581037842135, -0.11867639809743792, 0.11140933471788846, -0.021654379513674493, 0.006888448059831105, 0.08697584337114007, 0.0023191267852211883, -0.18851504216081716, -0.10985234852526378, -0.06804369975998631, -0.1079457774901769, -0.05784616052119321, -0.10296399894943821, -0.09360688872923811, 0.08223914490804658, -0.11732593746049019, 0.019157512813348546, 0.06422326096350583, 0.0405031560015638, -0.04727266440003421, -0.04343937820848547, 0.007822196888082347, 0.13022334515031084, 0.09472486558187466, 0.09784701813261484, 0.08988869498355793, -0.02658200514990942, 0.09197676832177659, -0.05589404918431118, -0.04500771511161175, -0.07817149200052538]
9	[-0.1453339604265812, -0.03234529481169662, -0.0068439633319794186, -0.06541102227049943, -0.009323556057646905, -0.027405212705700302, 0.027647826676805723, -0.006717942555813919, 0.028332270128178214, -0.05386645647221932, 0.05950947226739256, -0.07195046684437348, 0.3308405752956963, 0.07640957017324704, 0.01182349883226139, -0.019689911862048142, 0.021177838194014864, -0.02989244779912668, -0.061511573512203904, -0.1319079911230023, 0.017318402401164886, -0.06282172178922577, 0.02840556634050188, -0.033298151731937856, 0.10601676484886412, 0.09344009262976054, 0.04480389819780298, -0.13036815817989067, 0.02314665995907531, 0.05461931863445049, -0.01663777411347676, 0.07971568303290386, -0.08169199618465381, -0.06238755210311248, -0.04339358699156826, 0.026338352425160784, -0.004754342660548196, 0.01718290808012095, 0.02160622788274687, 0.025765844368365553, 0.12129810594996973, -0.057352618970116086, -0.13320374486358963, 0.04987943248824382, 0.14875911516132515, 0.07540017785669335, -0.15467740204273941, -0.02084484003261789, 0.09036866162322627, 0.04577964571875757, -0.03152332548915523, 0.07569013405224435, 0.025403952654267106, -0.00643284619699658, 0.11542661125005262, -0.05412113574697796, -0.005393822195331258, 0.08637652580837167, -0.015224315899854336, 0.051681735352359884, -0.03199046848039402, -0.09194797632422526, 0.09230825282242078, 0.006036049381920839, 0.018417201634114987, 0.15712699180464837, -0.011121525307256857, 0.02558335922807039, 0.04689309692122387, 0.1087641442906518, 0.0055156015090167074, -0.7296543838052844, -0.06326983308079523, 0.07521803818097343, 0.034912696815455016, 0.03583605315844574, 0.03710290432514913, -0.09160378783283048, 0.05646707064743415, -0.032676286755837294, 0.0006001074332027814, -0.0001018108730204681, -9.568267300472955e-05, -0.00021444333615678378, 0.00017187821755810292, -0.00021567725349303177, 0.0003011351045382241, -0.0005276023953840696, 0.0005410506686123567, 0.00014520954979765192, 0.0005915585602587577, -0.00046010635741514284, -0.0006003588198315446, 0.0005563397618637063, -0.0004784050804366408, 0.0005284886524316564, 0.0004133394417727959, 0.0003632607056391524, 7.626357883805837e-06, 0.0001700354449615611]
