0	[-0.1484240164819519, -0.004329701234749109, -0.36555766242998106, 0.23105871131101, 0.2513867498084628, 0.18642026689356794, -0.0789510398639095, -0.3591025836005905, 0.32489461380584606, -0.29936917448191275, -0.17217887418881742, -0.1539188749568626, -0.1438045930995696, 0.004203176010199974, -0.32523188701538436, 0.08241022939420782, 0.29426938516656403, -0.07405559711672988, 0.15627709003304782, 0.24395574076499382]
24	[-0.042970229156978644, -0.34733263278326687, -0.002149164318022017, 0.024574870661341466, 0.14462103003037366, 0.03500184505042496, 0.26511944710062835, -0.139030710110885, 0.0515431725397871, -0.2454356447780961, -0.20727942728410856, 0.24474768039635797, -0.24087870074459028, 0.26196523126950816, -0.34393620976779626, -0.3484778007859516, 0.288016849225386, -0.2967236862522974, 0.2305620228371181, 0.09407742702693177]
48	[-0.2920464935696364, -0.19937740224714662, 0.3375468303555488, 0.25192861122828014, 0.11897655765593769, 0.014896336147550185, 0.016384837622974553, -0.3459437852867017, -0.28732583480852975, 0.03060493004360059, -0.0326249765087355, 0.24401266794682813, 0.06442098676311585, 0.30952824223213427, 0.04008123162068478, 0.28175291130852725, -0.28938023922040923, 0.35039519338356906, -0.025811134716747182, -0.1760580013368014]
72	[-0.2291992566657448, -0.19606239772232598, 0.04585309557277218, -0.2941417257724401, 0.2417311529782883, 0.31702485919520706, 0.36886650446829145, 0.1544961336935055, -0.15752472867328576, 0.026750440659013767, 0.2897472572517124, 0.30026390613120163, -0.31082129822078775, -0.21453991379458234, 0.1329552672985519, -0.19825663628253526, -0.1389054352488163, 0.1056858315261058, 0.23131912918403488, 0.1352804219488926]
96	[-0.04646424722548071, 0.1495084687955058, -0.1787972320278122, 0.1081702235903752, -0.11059605070358894, 0.2531990684273364, 0.2311931506872734, 0.3051267076848035, -0.05025182229142301, 0.1803494932806313, 0.31403573294456694, 0.274044196846842, -0.32026254954790273, 0.16673272220533095, -0.22175585792539956, -0.12290404281051921, -0.3315161805436261, 0.2906609510353493, 0.170449463417779, -0.2864727009060816]
120	[0.2678303057614566, 0.3119270549210784, 0.26703258363915433, -0.35802236233853, 0.14162048888680526, -0.0804946636989205, 0.17259665061198948, -0.208229183073386, -0.18921716541217123, -0.1673259230372144, 0.06645838275123016, -0.21358317913754252, -0.3403949316041854, 0.23866731354141996, 0.29090683965204955, -0.20904229377464656, 0.07441372190851464, 0.14565025576789145, 0.10164193626744515, 0.2823525055445491]
144	[-0.08903615743490409, -0.32538193593232956, 0.2607821744578527, 0.23741683619126877, -0.0516481742111863, 0.30988746983667953, -0.08217741744621877, 0.09007013982049021, 0.244582220402413, 0.3084633189424806, 0.2588834184495962, 0.004335107157380105, -0.22829893488099265, -0.27375390406583894, -0.32936032889758754, 0.08207540816326209, 0.1830805156991634, 0.11477491690851022, 0.20970204956941094, 0.30546541186845066]
168	[-0.2973043224251068, -0.3496632322855144, 0.2517655770662899, -0.0342807326969217, -0.03265938077178012, -0.19694299436383197, 0.27641378281301976, -0.3775528752018196, 0.03065052796519764, 0.005689983927256304, -0.37690397512415086, 0.011483270313949525, -0.39360856968602237, -0.03083883673381417, -0.017029419046745015, -0.24188913598718748, -0.16008244463892968, -0.15137957893132398, 0.23572752413655762, 0.06349589562273872]
192	[0.0437040543568321, -0.25279234394578326, -0.0945043519578494, 0.2837140996687878, 0.10677032116013103, 0.34672826030540904, 0.23159378371335304, 0.39969617056262313, -0.1967206155576816, 0.1439962097485274, 0.011656361157160783, -0.3080329547129589, -0.1486408397328291, -0.07656187689655135, -0.009985626493842275, -0.14550538083914144, -0.14527285375325105, -0.3299222432267607, -0.11567903217846641, -0.39080963309783673]
216	[-0.10277781150398106, -0.2972745041306501, 0.2999571573167167, -0.2740797669702401, -0.3237643285683978, 0.10751599050588319, -0.008822933621151477, 0.19755859263390751, 0.2347728016982937, 0.3244147283325593, 0.22186992837285158, 0.09007148844126825, 0.32187859832192117, -0.16033913222362411, 0.18699289747984502, 0.06989849489115599, 0.14443897113896853, 0.229021897080216, 0.2813972066348392, -0.2027642389405635]
240	[0.19567999836225766, 0.12239853158530577, 0.32610722567531797, -0.24755561006795412, 0.1879933288439571, 0.35184364211651764, 0.3583407033828049, 0.14511084043879302, -0.1470906829210881, 0.10106219595280372, -0.1474914884353086, 0.06092542676725677, -0.17899756604580833, -0.17819764520786954, 0.3066989107249403, 0.08100634341242705, -0.14795176536290505, 0.367612466251735, -0.15714758205486068, 0.2589167900439846]
264	[-0.021679315768464193, -0.30945276506062647, 0.19064895906791549, 0.09607200045680553, -0.2361606047001065, 0.3397074118574453, 0.14535838902691434, -0.006120604738037357, 0.1417734421237107, 0.2583831438657066, -0.1806116431435677, 0.07158801329285308, -0.2814732944416751, -0.3198792588756263, -0.13337288348266232, -0.17647838338045596, -0.40034260419902234, -0.05220123087723507, -0.3504606481972361, 0.1579270549093823]
288	[-0.302966743556404, 0.28463157708481923, -0.07493083667010109, 0.19549632781118087, -0.331587469774691, -0.20764398660991581, -0.10493133508154082, 0.285349819672063, 0.28269183945071197, 0.34544338180308953, 0.20375488172693135, 0.20810350260656335, -0.35530249771909933, 0.1240777681069455, -0.0363126920116938, 0.1775844250006588, 0.15896253602022642, -0.15468681244306753, -0.12744839784784015, -0.11773732842979247]
312	[-0.28681904555699783, 0.21757707753078728, 0.12758261901478246, 0.3046408845240021, -0.01416864399266096, -0.27824634846603763, 0.11115796558586602, -0.33622008475165166, -0.2036751821858741, -0.30343066211513925, -0.03966331924062542, 0.34573282956263485, -0.12069328625391847, 0.028386521128221723, 0.17499873074528233, 0.30605637572488664, 0.09168034483452014, 0.3175897880205225, 0.19707513481593242, -0.12592390595004127]
336	[-0.11237694845414985, 0.10740942174307452, -0.09086041374502352, -0.2607795142304038, -0.26536249187304206, -0.3245723604479939, -0.05161758272883191, -0.31867109317226666, -0.2764117414603187, -0.3023297785540072, 0.3440025389414937, -0.32528097724541877, -0.05659441725529459, 0.198751068801467, 0.19502202725552675, -0.001499469452458312, -0.298489702029673, 0.15114505826870242, 0.17600057903653582, 0.06310991704397573]
360	[-0.37140280166489337, -0.09600014986454965, 0.005386862084726116, -0.1531783714615501, -0.22329218478386986, -0.30177462496961543, 0.061684876786218014, 0.28467610998062604, -0.30978558315238053, -0.10681032843186895, -0.37361079300570926, 0.2490398253565725, -0.24907469063040844, -0.1795795420815866, -0.06009341447139167, -0.15776751664034686, 0.1003645225504994, -0.29154918252752743, -0.23739025563514576, -0.14275899879402437]
384	[-0.08052899956907328, 0.044029395291077245, -0.2018363639293084, -0.2891738963727106, -0.11467461029108979, -0.23223100095527335, -0.36749140248181733, 0.28562027826764946, -0.30314044873539614, -0.26889137361831716, 0.006779406852608963, -0.3099398025409726, 0.21815339526305275, -0.0672186308374633, 0.10679133128892841, -0.19349807163166358, -0.057177992214949784, -0.18944667252211228, 0.3205885449357759, -0.28338981999264473]
408	[0.3315478992292448, -0.04384358999713868, 0.3018742352879713, -0.2510855249008711, -0.028282037441949265, -0.06241375894444836, -0.21444240902361117, -0.33844417423872825, 0.268236279607579, -0.060425499889797375, 0.06785726972499508, -0.29829998020320114, 0.27366159881718294, 0.3943606912622219, 0.03811910307073231, 0.03842865977651738, -0.03152390706342977, -0.35989578098622943, 0.11310213785796455, -0.1513779103110932]
432	[-0.16503721085372997, -0.21544646124926262, -0.15061058548569384, -0.08644840062127263, -0.07098333127655272, -0.34385533658533823, -0.3732015406522015, -0.4006388225195784, 0.10745598655297373, -0.1170921615735351, -0.05156291458426885, -0.062030964325688866, 0.16538716964628464, 0.12061129445381948, -0.16468964349389636, -0.24424729345705704, 0.08186152202576841, 0.22748590845591718, -0.29878758711895786, -0.4061454889605635]
456	[0.12412040954217636, -0.288257460444982, -0.22441307180006606, -0.20974118228798566, -0.04794482597952492, -0.1714316125074988, -0.122655399489649, -0.22742614866832342, 0.2110828931412067, 0.3351901510271278, 0.2713139470789236, 0.3253042518848192, -0.28270568233730936, -0.2240846632185705, 0.11856507300277778, 0.18637190025482153, -0.21686981816873838, -0.13347711028598763, -0.3573976506995377, -0.02901358272140314]
480	[-0.02454498963188851, -0.13538381339956995, 0.29977473969137913, 0.30997963615001495, -0.16225120484063052, 0.003360355635570373, -0.013059325738599149, -0.31677968867532885, 0.2357882482900518, 0.33861193702733633, -0.33200408852294333, -0.4243927851147099, 0.2994826300591417, -0.12570655263262465, 0.09758291255207877, -0.05722081323449183, -0.04479604133409285, 0.048457755232392555, 0.2768686083062562, 0.09148795975346465]
